"국내 지진 검색 결과를 번호, 발생시각, 규모, 깊이, 위도, 경도, 위치, 지도보기로 제공하는 표",,,,,,,,,
number,origin_time,magnitude,depth,최대,latitude,longitude,location,map,details
1470,2023-05-10 16:32,2.5,16,Ⅱ,37.49 N,129.12 E,강원 동해시 남쪽 4km 지역,지도,상세정보
1469,2023-05-10 13:29,2.2,5,Ⅱ,38.13 N,127.09 E,경기 연천군 북북동쪽 4km 지역,지도,상세정보
1468,2023-05-10 1:53,2.6,16,Ⅱ,37.49 N,129.12 E,강원 동해시 남쪽 4km 지역,지도,-
1467,2023-05-10 1:53,2.5,15,Ⅱ,37.49 N,129.14 E,강원 동해시 남남동쪽 4km 지역,지도,상세정보
1466,2023-05-08 21:12,2.1,23,Ⅰ,37.87 N,129.51 E,강원 동해시 북동쪽 52km 해역,지도,상세정보
1465,2023-05-08 19:51,2.5,17,Ⅲ,37.49 N,129.13 E,강원 동해시 남남동쪽 4km 해역,지도,상세정보
1464,2023-05-05 12:11,2.6,14,Ⅰ,39.23 N,125.15 E,북한 평안북도 정주 남쪽 51km 해역,지도,상세정보
1463,2023-04-30 19:03,3.1,6,Ⅳ,36.32 N,127.75 E,충북 옥천군 동쪽 16km 지역,지도,상세정보
1462,2023-04-28 23:39,2.6,27,Ⅰ,37.88 N,129.51 E,강원 동해시 북동쪽 53km 해역,지도,상세정보
1461,2023-04-26 12:15,2,27,Ⅰ,37.87 N,129.52 E,강원 동해시 북동쪽 52km 해역,지도,상세정보
1460,2023-04-26 6:51,2.2,28,Ⅰ,37.86 N,129.51 E,강원 동해시 북동쪽 51km 해역,지도,상세정보
1459,2023-04-25 15:55,3.5,33,Ⅰ,37.86 N,129.49 E,강원 동해시 북동쪽 50km 해역,지도,상세정보
1458,2023-04-25 13:22,2.7,12,Ⅲ,36.66 N,128.12 E,경북 문경시 북서쪽 10km 지역,지도,상세정보
1457,2023-04-25 12:02,3.1,28,Ⅱ,37.87 N,129.52 E,강원 동해시 북동쪽 52km 해역,지도,상세정보
1456,2023-04-25 5:03,2.3,25,Ⅰ,37.88 N,129.54 E,강원 동해시 북동쪽 54km 해역,지도,상세정보
1455,2023-04-24 21:50,2.4,27,Ⅰ,37.87 N,129.52 E,강원 동해시 북동쪽 52km 해역,지도,상세정보
1454,2023-04-24 21:41,2.1,27,Ⅰ,37.87 N,129.53 E,강원 동해시 북동쪽 53km 해역,지도,상세정보
1453,2023-04-24 13:02,2.9,31,Ⅰ,37.85 N,129.47 E,강원 동해시 북동쪽 48km 해역,지도,상세정보
1452,2023-04-23 21:06,2.7,27,Ⅰ,37.87 N,129.52 E,강원 동해시 북동쪽 52km 해역,지도,상세정보
1451,2023-04-19 0:45,2.6,14,Ⅰ,33.09 N,125.42 E,제주 서귀포시 서쪽 108km 해역,지도,상세정보
1450,2023-04-13 5:27,2.2,12,Ⅰ,35.09 N,125.07 E,전남 신안군 흑산도 북서쪽 57km 해역,지도,상세정보
1449,2023-04-12 22:45,2.1,7,Ⅱ,38.13 N,127.09 E,경기 연천군 북북동쪽 4km 지역,지도,상세정보
1448,2023-04-06 0:51,2.7,12,Ⅱ,37.94 N,125.60 E,북한 황해남도 해주 남서쪽 15km 지역,지도,상세정보
1447,2023-04-01 23:26,2.3,19,Ⅰ,38.96 N,124.31 E,북한 평안북도 철산 남남서쪽 95km 해역,지도,상세정보
1446,2023-03-30 5:47,2.9,22,Ⅰ,35.64 N,125.22 E,전북 군산시 어청도 남서쪽 86km 해역,지도,상세정보
1445,2023-03-25 18:35,2.5,5,Ⅰ,37.19 N,125.27 E,인천 옹진군 연평도 남서쪽 65km 해역,지도,상세정보
1444,2023-03-23 8:35,2,16,Ⅰ,33.56 N,125.66 E,제주 제주시 서쪽 81km 해역,지도,상세정보
1443,2023-03-22 2:09,2,24,Ⅰ,35.03 N,124.43 E,전남 신안군 흑산도 서북서쪽 99km 해역,지도,상세정보
1442,2023-03-14 2:18,2.4,20,Ⅰ,41.27 N,129.14 E,북한 함경북도 길주 북북서쪽 38km 지역,지도,상세정보
1441,2023-03-10 0:13,2.1,9,Ⅰ,41.27 N,129.06 E,북한 함경북도 길주 북북서쪽 42km 지역,지도,상세정보
1440,2023-03-07 15:13,2.1,16,Ⅰ,36.79 N,125.63 E,충남 태안군 서격렬비도 북북동쪽 21km 해역,지도,상세정보
1439,2023-03-03 11:26,3,8,Ⅳ,35.21 N,127.94 E,경남 진주시 서북서쪽 16km 지역,지도,상세정보
1438,2023-02-19 7:29,2.5,8,Ⅳ,34.67 N,127.36 E,전남 고흥군 북동쪽 11km 지역,지도,상세정보
1437,2023-02-11 8:22,2.3,13,Ⅲ,36.52 N,127.85 E,충북 보은군 동북동쪽 11km 지역,지도,상세정보
1436,2023-02-09 1:10,2.1,10,Ⅰ,41.29 N,129.27 E,북한 함경북도 길주 북쪽 38km 지역,지도,상세정보
1435,2023-01-23 7:33,2.9,15,Ⅱ,37.90 N,125.71 E,북한 황해남도 해주 남쪽 16km 해역,지도,상세정보
1434,2023-01-21 13:37,2.5,15,Ⅰ,36.46 N,129.63 E,경북 영덕군 동북동쪽 24km 해역,지도,상세정보
1433,2023-01-14 5:56,2.1,11,Ⅰ,35.08 N,125.07 E,전남 신안군 흑산도 북서쪽 56km 해역,지도,상세정보
1432,2023-01-13 12:23,2.1,11,Ⅰ,35.09 N,125.07 E,전남 신안군 흑산도 북서쪽 57km 해역,지도,상세정보
1431,2023-01-09 1:28,3.7,19,Ⅳ,37.74 N,126.20 E,인천 강화군 서쪽 25km 해역,지도,지진분석서
1430,2023-01-07 5:16,2.2,14,Ⅰ,34.56 N,124.95 E,전남 신안군 흑산도 서남서쪽 45km 해역,지도,상세정보
1429,2023-01-07 5:12,2.4,14,Ⅰ,34.52 N,124.90 E,전남 신안군 흑산도 서남서쪽 50km 해역,지도,상세정보
1428,2023-01-05 0:28,2.4,24,Ⅰ,33.38 N,127.23 E,제주 서귀포시 동북동쪽 64km 해역,지도,상세정보
1427,2022-12-25 19:31,2.6,14,Ⅲ,36.51 N,128.65 E,경북 안동시 남서쪽 10km 지역,지도,상세정보
1426,2022-12-23 19:43,2.3,-,Ⅰ,35.14 N,125.08 E,전남 신안군 흑산도 북북서쪽 61km 해역,지도,상세정보
1425,2022-12-16 12:07,2.1,26,Ⅰ,41.30 N,129.22 E,북한 함경북도 길주 북북서쪽 39km 지역,지도,상세정보
1424,2022-12-03 13:22,2.9,21,Ⅰ,35.77 N,129.80 E,울산 북구 동북동쪽 45km 해역,지도,상세정보
1423,2022-12-01 15:17,3.2,14,Ⅲ,36.17 N,128.27 E,경북 김천시 동북동쪽 14km 지역,지도,상세정보
1422,2022-11-29 5:31,2.1,-,Ⅰ,38.43 N,125.63 E,북한 황해북도 사리원 남서쪽 14km 지역,지도,상세정보
1421,2022-11-20 15:21,2,11,Ⅰ,41.29 N,129.22 E,북한 함경북도 길주 북북서쪽 38km 지역,지도,상세정보
1420,2022-11-20 1:01,3.3,20,Ⅱ,33.96 N,125.22 E,전남 신안군 흑산도 남남서쪽 81km 해역,지도,상세정보
1419,2022-11-18 3:12,2.2,6,Ⅰ,35.52 N,124.35 E,전남 신안군 흑산도 북서쪽 136km 해역,지도,상세정보
1418,2022-11-13 12:17,2.1,17,Ⅰ,35.07 N,125.07 E,전남 신안군 흑산도 북서쪽 55km 해역,지도,상세정보
1417,2022-11-08 0:45,2.1,8,Ⅰ,33.30 N,127.78 E,전남 여수시 거문도 남남동쪽 92km 해역,지도,상세정보
1416,2022-11-05 13:21,2.5,11,Ⅲ,36.97 N,126.38 E,충남 서산시 북북서쪽 22km 해역,지도,상세정보
1415,2022-11-03 11:36,2.1,10,Ⅰ,35.47 N,124.90 E,전남 신안군 흑산도 북북서쪽 101km 해역,지도,상세정보
1414,2022-11-01 2:27,2.9,14,Ⅴ,36.88 N,127.88 E,충북 괴산군 북동쪽 11km 지역,지도,상세정보
1413,2022-10-29 8:29,2.9,11,Ⅳ,36.88 N,127.88 E,충북 괴산군 북동쪽 11km 지역,지도,-
1412,2022-10-29 8:29,2.2,13,Ⅳ,36.88 N,127.87 E,충북 괴산군 북동쪽 10km 지역,지도,-
1411,2022-10-29 8:27,4.1,12,Ⅴ,36.88 N,127.88 E,충북 괴산군 북동쪽 11km 지역,지도,지진분석서
1410,2022-10-29 8:27,3.5,13,Ⅴ,36.88 N,127.88 E,충북 괴산군 북동쪽 11km 지역,지도,상세정보
1409,2022-10-08 14:33,2.4,14,Ⅰ,41.29 N,129.21 E,북한 함경북도 길주 북북서쪽 39km 지역,지도,상세정보
1408,2022-10-08 2:54,2.5,23,Ⅰ,41.30 N,129.13 E,북한 함경북도 길주 북북서쪽 42km 지역,지도,상세정보
1407,2022-10-01 4:37,2.7,14,Ⅲ,36.94 N,127.13 E,충남 천안시 서북구 북북서쪽 7km 지역,지도,상세정보
1406,2022-09-23 7:40,2.3,-,Ⅰ,35.69 N,124.59 E,충남 태안군 서격렬비도 남서쪽 134km 해역,지도,상세정보
1405,2022-09-22 20:28,2.9,10,Ⅰ,40.57 N,126.71 E,북한 자강도 용림 북북동쪽 7km 지역,지도,상세정보
1404,2022-09-11 16:28,2.4,13,Ⅰ,36.46 N,129.63 E,경북 영덕군 동북동쪽 24km 해역,지도,상세정보
1403,2022-09-10 14:59,3.4,7,Ⅱ,38.95 N,127.29 E,북한 강원 원산 남남서쪽 26km 지역,지도,상세정보
1402,2022-09-03 0:44,2,18,Ⅰ,36.39 N,129.89 E,경북 영덕군 동쪽 47km 해역,지도,상세정보
1401,2022-09-01 8:33,2.5,-,Ⅰ,35.11 N,125.07 E,전남 신안군 흑산도 북북서쪽 58km 해역,지도,상세정보
1400,2022-08-28 1:54,2.4,12,Ⅰ,37.17 N,125.42 E,인천 옹진군 연평도 남남서쪽 60km 해역,지도,상세정보
1399,2022-08-24 18:31,2.1,20,Ⅰ,36.47 N,129.62 E,경북 영덕군 동북동쪽 24km 해역,지도,상세정보
1398,2022-08-22 13:29,2.4,-,Ⅰ,34.75 N,124.30 E,전남 신안군 흑산도 서쪽 103km 해역,지도,상세정보
1397,2022-08-16 20:27,2.4,-,Ⅰ,38.80 N,125.95 E,북한 황해북도 연산 서남서쪽 28km 지역,지도,상세정보
1396,2022-08-12 19:37,2.7,6,Ⅰ,37.41 N,124.53 E,인천 옹진군 백령도 남남서쪽 62km 해역,지도,상세정보
1395,2022-08-03 7:55,3.1,8,Ⅰ,33.14 N,127.67 E,전남 여수시 거문도 남남동쪽 104km 해역,지도,상세정보
1394,2022-07-31 22:05,2.6,-,Ⅰ,38.44 N,125.62 E,북한 황해남도 안악 남동쪽 13km 지역,지도,상세정보
1393,2022-07-29 5:36,2.6,13,Ⅳ,35.39 N,128.24 E,경남 의령군 북북서쪽 8km 지역,지도,상세정보
1392,2022-07-23 16:21,2.4,-,Ⅰ,38.44 N,125.63 E,북한 황해북도 사리원 서남서쪽 14km 지역,지도,상세정보
1391,2022-07-23 6:27,2.5,-,Ⅰ,38.45 N,125.63 E,북한 황해북도 사리원 서남서쪽 13km 지역,지도,상세정보
1390,2022-07-21 18:38,2.3,10,Ⅲ,36.80 N,126.25 E,충남 태안군 북서쪽 7km 지역,지도,상세정보
1389,2022-07-21 4:46,2.3,13,Ⅲ,35.79 N,129.20 E,경북 경주시 남남서쪽 8km 지역,지도,상세정보
1388,2022-07-20 16:19,2,17,Ⅱ,36.29 N,126.87 E,충남 부여군 서북서쪽 4km 지역,지도,상세정보
1387,2022-07-16 13:53,2.1,14,Ⅰ,33.64 N,128.11 E,전남 여수시 거문도 동남동쪽 85km 해역,지도,상세정보
1386,2022-07-12 10:38,2.6,6,Ⅰ,33.13 N,127.66 E,제주 서귀포시 동쪽 103km 해역,지도,상세정보
1385,2022-07-12 10:09,2.7,7,Ⅰ,33.11 N,127.66 E,제주 서귀포시 동쪽 104km 해역,지도,상세정보
1384,2022-07-12 9:56,2.3,6,Ⅰ,33.12 N,127.64 E,제주 서귀포시 동쪽 102km 해역,지도,상세정보
1383,2022-07-12 0:44,2.2,10,Ⅰ,33.14 N,127.66 E,제주 서귀포시 동쪽 103km 해역,지도,상세정보
1382,2022-07-12 0:41,2.1,10,Ⅰ,33.14 N,127.65 E,제주 서귀포시 동쪽 102km 해역,지도,상세정보
1381,2022-07-03 7:54,2.6,13,Ⅰ,33.31 N,127.45 E,전남 여수시 거문도 남쪽 81km 해역,지도,상세정보
1380,2022-06-30 22:51,2.3,6,Ⅳ,37.02 N,128.98 E,경북 봉화군 동북동쪽 26km 지역,지도,상세정보
1379,2022-06-30 2:55,2.1,18,Ⅰ,35.90 N,129.73 E,경북 포항시 남구 동남동쪽 35km 해역,지도,상세정보
1378,2022-06-29 15:26,2.3,21,Ⅰ,35.89 N,129.70 E,경북 포항시 남구 동남동쪽 33km 해역,지도,상세정보
1377,2022-06-02 20:48,2.6,26,Ⅰ,38.12 N,130.98 E,경북 울릉군 울릉도 북쪽 71km 해역,지도,상세정보
1376,2022-05-13 6:50,2.3,21,Ⅰ,33.34 N,127.22 E,제주 서귀포시 동쪽 62km 해역,지도,상세정보
1375,2022-04-30 9:20,2.3,10,Ⅰ,38.98 N,127.29 E,북한 강원 원산 남남서쪽 24km 지역,지도,상세정보
1374,2022-04-21 2:34,2.3,-,Ⅰ,38.85 N,125.78 E,북한 황해북도 송림 북동쪽 18km 지역,지도,상세정보
1373,2022-04-18 14:22,2.3,11,Ⅲ,37.26 N,126.10 E,인천 옹진군 서남서쪽 52km 지역,지도,상세정보
1372,2022-04-17 23:33,2.3,9,Ⅲ,35.22 N,128.60 E,경남 창원시 마산회원구 동쪽 2km 지역,지도,상세정보
1371,2022-04-16 2:08,2.6,18,Ⅲ,34.75 N,127.26 E,전남 고흥군 북쪽 16km 지역,지도,상세정보
1370,2022-04-12 14:56,2.4,14,Ⅲ,36.82 N,129.47 E,경북 울진군 남남동쪽 20km 해역,지도,상세정보
1369,2022-04-10 2:45,3.4,18,Ⅲ,36.45 N,129.62 E,경북 영덕군 동쪽 23km 해역,지도,상세정보
1368,2022-04-09 10:55,2.2,19,Ⅱ,36.54 N,128.08 E,경북 상주시 북북서쪽 16km 지역,지도,상세정보
1367,2022-04-03 14:19,2,11,Ⅲ,35.69 N,129.35 E,경북 경주시 남남동쪽 22km 지역,지도,상세정보
1366,2022-03-16 18:18,2.3,-,Ⅰ,33.70 N,125.06 E,전남 신안군 흑산도 남남서쪽 113km 해역,지도,상세정보
1365,2022-03-15 0:22,2,12,Ⅰ,39.42 N,126.19 E,북한 평안남도 성천 북쪽 20km 지역,지도,상세정보
1364,2022-03-06 18:40,2.5,18,Ⅰ,37.31 N,129.54 E,강원 삼척시 동남동쪽 37km 해역,지도,상세정보
1363,2022-03-05 22:16,2.4,12,Ⅲ,36.39 N,127.13 E,충남 공주시 남쪽 6km 지역,지도,상세정보
1362,2022-03-04 2:15,2.1,29,Ⅰ,41.24 N,129.22 E,북한 함경북도 길주 북북서쪽 33km 지역,지도,상세정보
1361,2022-02-28 21:31,2.1,24,Ⅰ,41.25 N,129.28 E,북한 함경북도 길주 북쪽 33km 지역,지도,상세정보
1360,2022-02-24 12:07,2.2,21,Ⅰ,34.00 N,127.59 E,전남 여수시 거문도 동쪽 25km 해역,지도,상세정보
1359,2022-02-15 6:52,2.5,29,Ⅰ,41.29 N,129.23 E,북한 함경북도 길주 북북서쪽 38km 지역,지도,상세정보
1358,2022-02-14 19:47,2.3,18,Ⅰ,41.28 N,129.26 E,북한 함경북도 길주 북쪽 37km 지역,지도,상세정보
1357,2022-02-14 14:33,2.3,22,Ⅰ,41.27 N,129.24 E,북한 함경북도 길주 북북서쪽 36km 지역,지도,상세정보
1356,2022-02-11 10:35,3.1,17,Ⅰ,41.30 N,129.21 E,북한 함경북도 길주 북북서쪽 40km 지역,지도,상세정보
1355,2022-02-10 17:20,2.2,19,Ⅲ,35.29 N,126.59 E,전남 영광군 동북동쪽 7km 지역,지도,상세정보
1354,2022-02-08 15:57,2.9,16,Ⅰ,35.07 N,125.06 E,전남 신안군 흑산도 북서쪽 55km 해역,지도,상세정보
1353,2022-02-04 2:47,2.3,16,Ⅰ,37.41 N,129.51 E,강원 삼척시 동쪽 31km 해역,지도,상세정보
1352,2022-02-02 12:04,2.4,19,Ⅲ,35.72 N,128.99 E,경북 청도군 동북동쪽 24km 지역,지도,상세정보
1351,2022-01-28 6:46,2.3,9,Ⅱ,34.37 N,127.30 E,전남 고흥군 남쪽 26km 해역,지도,상세정보
1350,2021-12-30 17:54,2.2,14,Ⅰ,41.30 N,129.17 E,북한 함경북도 길주 북북서쪽 41km 지역,지도,상세정보
1349,2021-12-30 14:21,2.3,19,Ⅰ,41.31 N,129.21 E,북한 함경북도 길주 북북서쪽 41km 지역,지도,상세정보
1348,2021-12-17 6:22,3.2,18,Ⅲ,33.12 N,126.18 E,제주 서귀포시 서남서쪽 38km 해역,지도,상세정보
1347,2021-12-15 22:02,2.3,10,Ⅳ,35.79 N,127.80 E,경남 거창군 북서쪽 15km 지역,지도,상세정보
1346,2021-12-15 15:06,2.8,14,Ⅱ,33.14 N,126.15 E,제주 서귀포시 서남서쪽 40km 해역,지도,상세정보
1345,2021-12-14 17:19,4.9,17,Ⅴ,33.09 N,126.16 E,제주 서귀포시 서남서쪽 41km 해역,지도,지진분석서
1344,2021-12-09 10:57,2.6,17,Ⅰ,33.85 N,125.51 E,전남 신안군 흑산도 남쪽 91km 해역,지도,상세정보
1343,2021-12-04 12:33,2.3,20,Ⅰ,38.02 N,124.52 E,인천 옹진군 백령도 서북서쪽 16km 해역,지도,상세정보
1342,2021-11-22 5:19,2.1,7,Ⅱ,35.48 N,127.11 E,전북 순창군 북북서쪽 12km 지역,지도,상세정보
1341,2021-11-19 2:35,2.2,11,Ⅰ,33.85 N,124.77 E,전남 신안군 흑산도 남남서쪽 109km 해역,지도,상세정보
1340,2021-11-17 1:39,2.9,19,Ⅰ,35.66 N,129.75 E,울산 동구 동북동쪽 35km 해역,지도,상세정보
1339,2021-11-16 20:53,2.1,8,Ⅰ,34.50 N,125.90 E,전남 진도군 서쪽 33km 해역,지도,상세정보
1338,2021-11-16 11:57,2.1,18,Ⅰ,35.06 N,125.06 E,전남 신안군 흑산도 북서쪽 54km 해역,지도,상세정보
1337,2021-11-12 1:31,2.1,8,Ⅱ,36.15 N,129.38 E,경북 포항시 북구 북쪽 12km 지역,지도,상세정보
1336,2021-10-22 6:51,2.4,14,Ⅲ,36.90 N,128.22 E,충북 제천시 남쪽 26km 지역,지도,상세정보
1335,2021-10-19 22:13,2.2,22,Ⅰ,35.90 N,129.75 E,경북 포항시 남구 동남동쪽 37km 해역,지도,상세정보
1334,2021-10-19 6:45,2.8,-,Ⅰ,40.41 N,127.27 E,북한 함경남도 장진 북동쪽 4km 지역,지도,상세정보
1333,2021-10-19 6:41,2.6,-,Ⅰ,40.37 N,127.28 E,북한 함경남도 장진 동남동쪽 4km 지역,지도,상세정보
1332,2021-10-17 23:13,2.4,33,Ⅰ,41.26 N,129.45 E,북한 함경북도 길주 북북동쪽 36km 지역,지도,상세정보
1331,2021-10-11 22:00,2.5,20,Ⅰ,41.29 N,129.20 E,북한 함경북도 길주 북북서쪽 39km 지역,지도,상세정보
1330,2021-10-11 21:58,2.4,25,Ⅰ,41.30 N,129.18 E,북한 함경북도 길주 북북서쪽 40km 지역,지도,-
1329,2021-10-10 2:18,2.1,7,Ⅰ,35.10 N,125.06 E,전남 신안군 흑산도 북서쪽 58km 해역,지도,상세정보
1328,2021-10-06 21:55,2.5,13,Ⅲ,35.25 N,127.86 E,경남 하동군 북북동쪽 23km 지역,지도,상세정보
1327,2021-09-23 12:02,2.6,16,Ⅳ,35.42 N,128.49 E,경남 창녕군 남쪽 14km 지역,지도,상세정보
1326,2021-09-20 6:58,2.2,8,Ⅲ,34.88 N,127.25 E,전남 보성군 북동쪽 20km 지역,지도,상세정보
1325,2021-09-17 5:30,2.2,10,Ⅱ,36.71 N,126.11 E,충남 태안군 서남서쪽 17km 해역,지도,상세정보
1324,2021-09-14 3:36,2.2,16,Ⅲ,35.41 N,128.78 E,경남 밀양시 남남동쪽 11km 지역,지도,상세정보
1323,2021-09-12 2:04,2.1,13,Ⅱ,35.53 N,128.53 E,경남 창녕군 동남동쪽 4km 지역,지도,상세정보
1322,2021-09-11 3:47,2.1,8,Ⅰ,41.29 N,129.15 E,북한 함경북도 길주 북북서쪽 40km 지역,지도,상세정보
1321,2021-09-01 18:39,2.4,15,Ⅰ,41.30 N,129.13 E,북한 함경북도 길주 북북서쪽 42km 지역,지도,상세정보
1320,2021-08-29 18:47,2.6,15,Ⅰ,36.98 N,125.02 E,충남 태안군 서격렬비도 북서쪽 62km 해역,지도,상세정보
1319,2021-08-29 13:03,2.2,9,Ⅲ,35.31 N,128.49 E,경남 함안군 동북동쪽 9km 지역,지도,상세정보
1318,2021-08-28 7:03,2.2,15,Ⅲ,35.00 N,127.73 E,전남 광양시 북북동쪽 7km 지역,지도,상세정보
1317,2021-08-26 15:58,2.3,17,Ⅰ,35.07 N,125.12 E,전남 신안군 흑산도 북북서쪽 52km 해역,지도,상세정보
1316,2021-08-21 9:40,4,7,Ⅱ,35.70 N,124.70 E,전북 군산시 어청도 서남서쪽 124km 해역,지도,지진분석서
1315,2021-08-20 22:26,2.1,5,Ⅱ,38.37 N,127.99 E,북한 강원 회양 남동쪽 50km 지역,지도,상세정보
1314,2021-08-18 16:57,2.1,-,Ⅰ,35.10 N,129.84 E,부산 기장군 동남동쪽 58km 해역,지도,상세정보
1313,2021-08-15 9:32,2,18,Ⅰ,35.10 N,129.78 E,부산 기장군 동남동쪽 53km 해역,지도,상세정보
1312,2021-08-01 14:19,2.2,13,Ⅰ,35.65 N,129.53 E,울산 북구 동북동쪽 17km 해역,지도,상세정보
1311,2021-07-31 5:17,2.5,22,Ⅲ,35.65 N,128.40 E,대구 달성군 남남서쪽 14km 지역,지도,상세정보
1310,2021-07-26 6:50,2.2,14,Ⅲ,36.32 N,128.21 E,경북 상주시 남남동쪽 11km 지역,지도,상세정보
1309,2021-07-07 6:57,2.3,20,Ⅱ,36.77 N,128.46 E,경북 예천군 북쪽 14km 지역,지도,상세정보
1308,2021-06-14 22:42,2.4,20,Ⅰ,35.81 N,129.77 E,경북 포항시 남구 동남동쪽 43km 해역,지도,상세정보
1307,2021-06-13 23:57,2.5,15,Ⅰ,41.29 N,129.13 E,북한 함경북도 길주 북북서쪽 41km 지역,지도,상세정보
1306,2021-06-13 6:13,2,26,Ⅰ,36.97 N,130.34 E,경북 울릉군 울릉도 남서쪽 76km 해역,지도,상세정보
1305,2021-06-07 18:34,2.1,13,Ⅰ,33.68 N,128.07 E,전남 여수시 거문도 동남동쪽 80km 해역,지도,상세정보
1304,2021-05-30 23:53,2.4,9,Ⅰ,38.73 N,126.06 E,북한 황해북도 연산 남서쪽 23km 지역,지도,상세정보
1303,2021-05-26 6:13,2.2,-,Ⅰ,35.83 N,124.56 E,충남 태안군 서격렬비도 남서쪽 124km 해역,지도,상세정보
1302,2021-05-13 6:04,2,10,Ⅲ,35.89 N,127.33 E,전북 완주군 동쪽 15km 지역,지도,상세정보
1301,2021-05-04 22:42,2,19,Ⅰ,35.89 N,129.67 E,경북 포항시 남구 동남동쪽 31km 해역,지도,상세정보
1300,2021-04-30 16:15,2.1,7,Ⅲ,35.52 N,128.88 E,경남 밀양시 동쪽 12km 지역,지도,상세정보
1299,2021-04-29 5:12,2,18,Ⅰ,35.65 N,129.83 E,울산 동구 동북동쪽 41km 해역,지도,상세정보
1298,2021-04-28 12:00,2.5,20,Ⅰ,35.65 N,129.79 E,울산 동구 동북동쪽 37km 해역,지도,상세정보
1297,2021-04-25 17:07,2.3,5,Ⅰ,37.48 N,124.36 E,인천 옹진군 백령도 남남서쪽 60km 해역,지도,상세정보
1296,2021-04-23 2:41,2.2,6,Ⅰ,40.49 N,127.51 E,북한 함경남도 장진 동북동쪽 26km 지역,지도,상세정보
1295,2021-04-20 2:13,2.6,15,Ⅰ,35.08 N,125.05 E,전남 신안군 흑산도 북서쪽 57km 해역,지도,상세정보
1294,2021-04-19 15:48,2.7,20,Ⅰ,41.28 N,129.13 E,북한 함경북도 길주 북북서쪽 40km 지역,지도,상세정보
1293,2021-04-19 14:20,3.7,15,Ⅱ,35.07 N,125.08 E,전남 신안군 흑산도 북서쪽 54km 해역,지도,상세정보
1292,2021-04-16 1:43,2.2,11,Ⅲ,37.29 N,127.71 E,경기 여주시 동쪽 7km 지역,지도,상세정보
1291,2021-04-13 21:56,2,13,Ⅲ,36.02 N,126.91 E,전북 익산시 북북서쪽 9km 지역,지도,상세정보
1290,2021-03-16 2:51,2.6,18,Ⅲ,35.76 N,129.19 E,경북 경주시 남남서쪽 11km 지역,지도,상세정보
1289,2021-02-21 9:03,2.2,18,Ⅱ,35.47 N,126.34 E,전남 영광군 북서쪽 27km 해역,지도,상세정보
1288,2021-02-15 18:59,2.5,14,Ⅳ,35.99 N,126.84 E,전북 군산시 동북동쪽 10km 지역,지도,상세정보
1287,2021-02-10 19:28,2.1,9,Ⅱ,37.32 N,126.24 E,인천 옹진군 서남서쪽 38km 해역,지도,상세정보
1286,2021-02-08 7:46,2.3,24,Ⅰ,40.64 N,127.62 E,북한 함경남도 장진 북동쪽 43km 지역,지도,상세정보
1285,2021-02-08 3:37,3.2,24,Ⅰ,40.67 N,127.45 E,북한 함경남도 장진 북북동쪽 37km 지역,지도,상세정보
1284,2021-02-06 4:40,2.7,5,Ⅳ,35.81 N,127.53 E,전북 장수군 북쪽 18km 지역,지도,상세정보
1283,2021-02-03 12:17,2.2,8,Ⅲ,37.32 N,126.24 E,인천 옹진군 서남서쪽 38km 해역,지도,상세정보
1282,2021-01-24 6:23,2.1,11,Ⅰ,35.84 N,125.14 E,전북 군산시 어청도 서남서쪽 81km 해역,지도,상세정보
1281,2021-01-14 8:17,2.1,-,Ⅰ,36.86 N,125.43 E,충남 태안군 서격렬비도 북북서쪽 30km 해역,지도,상세정보
1280,2020-12-23 21:28,2.2,12,Ⅲ,37.73 N,126.73 E,경기 파주시 남서쪽 6km 지역,지도,상세정보
1279,2020-12-18 17:17,2.7,16,Ⅱ,37.66 N,129.32 E,강원 동해시 북동쪽 24km 해역,지도,상세정보
1278,2020-12-15 17:15,2.3,16,Ⅰ,37.70 N,125.17 E,북한 황해남도 옹진 남남서쪽 31km 해역,지도,상세정보
1277,2020-11-19 23:17,3.1,15,Ⅰ,37.99 N,125.37 E,북한 황해남도 옹진 북쪽 7km 지역,지도,상세정보
1276,2020-11-17 3:10,2.6,-,Ⅰ,41.28 N,129.18 E,북한 함경북도 길주 북북서쪽 38km 지역,지도,상세정보
1275,2020-11-15 0:00,2.1,17,Ⅲ,35.76 N,129.18 E,경북 경주시 남남서쪽 11km 지역,지도,상세정보
1274,2020-11-08 15:26,2.9,9,Ⅳ,36.41 N,128.22 E,경북 상주시 동쪽 5km 지역,지도,상세정보
1273,2020-11-06 18:27,2,8,Ⅱ,36.43 N,128.14 E,경북 상주시 북서쪽 3km 지역,지도,상세정보
1272,2020-11-04 16:50,2.4,22,Ⅰ,35.84 N,129.79 E,경북 포항시 남구 동남동쪽 43km 해역,지도,상세정보
1271,2020-11-04 7:23,2.2,23,Ⅰ,35.83 N,129.78 E,경북 포항시 남구 동남동쪽 43km 해역,지도,상세정보
1270,2020-11-04 4:41,2.8,-,Ⅰ,38.79 N,125.72 E,북한 황해북도 송림 북동쪽 10km 지역,지도,상세정보
1269,2020-10-25 19:10,2.5,17,Ⅰ,33.89 N,125.65 E,전남 진도군 남서쪽 87km 해역,지도,상세정보
