"국내 지진 검색 결과를 번호, 발생시각, 규모, 깊이, 위도, 경도, 위치, 지도보기로 제공하는 표",,,,,,,,,
number,origin_time,magnitude,depth,최대,latitude,longitude,location,map,details
1619,2024-12-04 9:41,2.6,7,Ⅱ,37.06 N,126.28 E,충남 서산시 북북서쪽 34km 해역,지도,상세정보
1618,2024-12-02 23:04,2.4,12,Ⅰ,41.31 N,129.18 E,북한 함경북도 길주 북북서쪽 41km 지역,지도,상세정보
1617,2024-11-28 0:36,2.5,12,Ⅳ,35.51 N,126.82 E,전북 정읍시 남남서쪽 7km 지역,지도,상세정보
1616,2024-11-24 20:35,2.6,8,Ⅰ,33.42 N,125.16 E,제주 제주시 서쪽 128km 해역,지도,상세정보
1615,2024-11-14 22:48,2,20,Ⅰ,35.28 N,127.43 E,전남 구례군 북북서쪽 9km 지역,지도,상세정보
1614,2024-11-14 4:21,2.1,14,Ⅰ,32.64 N,125.82 E,제주 서귀포시 이어도 북동쪽 83km 해역,지도,상세정보
1613,2024-11-14 0:00,2.1,9,Ⅰ,33.40 N,125.13 E,제주 제주시 서쪽 130km 해역,지도,상세정보
1612,2024-11-10 14:27,2.3,17,Ⅰ,33.40 N,125.11 E,제주 제주시 서쪽 132km 해역,지도,상세정보
1611,2024-11-09 13:23,3.1,11,Ⅰ,41.27 N,129.19 E,북한 함경북도 길주 북북서쪽 37km 지역,지도,상세정보
1610,2024-11-08 5:47,2.2,9,Ⅰ,33.40 N,125.14 E,제주 제주시 서쪽 130km 해역,지도,상세정보
1609,2024-11-03 12:16,2,13,Ⅰ,36.46 N,129.64 E,경북 영덕군 동북동쪽 25km 해역,지도,상세정보
1608,2024-11-03 3:19,2.3,6,Ⅰ,33.42 N,125.15 E,제주 제주시 서쪽 128km 해역,지도,상세정보
1607,2024-11-02 21:24,2.5,17,Ⅰ,41.28 N,129.21 E,북한 함경북도 길주 북북서쪽 37km 지역,지도,상세정보
1606,2024-11-01 21:27,2.9,19,Ⅰ,33.43 N,127.86 E,전남 여수시 거문도 남동쪽 83km 해역,지도,상세정보
1605,2024-10-28 14:11,2.3,17,Ⅰ,41.29 N,129.20 E,북한 함경북도 길주 북북서쪽 39km 지역,지도,상세정보
1604,2024-10-26 3:32,2.2,21,Ⅰ,33.42 N,125.80 E,제주 제주시 서쪽 68km 해역,지도,상세정보
1603,2024-10-23 17:56,2.5,8,Ⅳ,35.99 N,128.35 E,경북 칠곡군 서쪽 5km 지역,지도,상세정보
1602,2024-10-22 1:47,2.1,18,Ⅰ,41.27 N,129.20 E,북한 함경북도 길주 북북서쪽 37km 지역,지도,상세정보
1601,2024-10-21 15:33,2.2,7,Ⅰ,41.29 N,129.20 E,북한 함경북도 길주 북북서쪽 39km 지역,지도,상세정보
1600,2024-10-16 0:55,2.1,12,Ⅱ,36.27 N,126.71 E,충남 부여군 서쪽 18km 지역,지도,상세정보
1599,2024-10-07 15:09,2.2,20,Ⅰ,35.67 N,129.63 E,울산 북구 동북동쪽 26km 해역,지도,상세정보
1598,2024-10-04 22:08,2.1,12,Ⅰ,36.08 N,125.42 E,전북 군산시 어청도 서쪽 50km 해역,지도,상세정보
1597,2024-10-04 13:23,2.3,10,Ⅰ,41.27 N,129.11 E,북한 함경북도 길주 북북서쪽 39km 지역,지도,상세정보
1596,2024-10-01 11:33,2.1,16,Ⅰ,33.62 N,126.94 E,제주 제주시 동북동쪽 40km 해역,지도,상세정보
1595,2024-09-28 16:45,2.2,12,Ⅱ,36.73 N,128.90 E,경북 안동시 북동쪽 24km 지역,지도,상세정보
1594,2024-09-26 11:00,2.8,6,Ⅰ,40.20 N,126.89 E,북한 평안남도 대흥 북북서쪽 13km 지역,지도,상세정보
1593,2024-09-24 7:05,2.2,12,Ⅲ,35.22 N,128.63 E,경남 창원시 의창구 남남서쪽 4km 지역,지도,상세정보
1592,2024-09-22 20:23,2.2,10,Ⅱ,35.59 N,129.50 E,울산 동구 북동쪽 12km 해역,지도,상세정보
1591,2024-09-19 21:39,2.2,5,Ⅰ,40.19 N,126.88 E,북한 평안남도 대흥 북북서쪽 12km 지역,지도,상세정보
1590,2024-09-19 19:41,3.8,8,Ⅰ,40.31 N,126.88 E,북한 평안남도 대흥 북쪽 25km 지역,지도,상세정보
1589,2024-09-18 12:47,2.7,5,Ⅰ,35.73 N,124.35 E,충남 태안군 서격렬비도 남서쪽 145km 해역,지도,상세정보
1588,2024-09-13 21:58,2.3,11,Ⅰ,35.47 N,124.54 E,전남 신안군 흑산도 북서쪽 120km 해역,지도,상세정보
1587,2024-09-12 23:47,2.6,16,Ⅲ,35.46 N,128.43 E,경남 창녕군 남남서쪽 11km 지역,지도,상세정보
1586,2024-09-12 19:25,2.7,14,Ⅲ,36.41 N,128.76 E,경북 의성군 북동쪽 8km 지역,지도,상세정보
1585,2024-09-12 19:19,2.9,17,Ⅰ,39.90 N,126.56 E,북한 평안남도 덕천 북동쪽 27km 지역,지도,상세정보
1584,2024-09-11 2:24,2.7,11,Ⅱ,37.11 N,125.45 E,충남 태안군 서격렬비도 북쪽 56km 해역,지도,상세정보
1583,2024-09-01 13:46,2.4,27,Ⅰ,37.86 N,129.52 E,강원 동해시 북동쪽 52km 해역,지도,상세정보
1582,2024-08-29 20:23,2.4,19,Ⅰ,35.66 N,129.75 E,울산 동구 동북동쪽 35km 해역,지도,상세정보
1581,2024-08-27 23:02,2.2,21,Ⅰ,37.87 N,129.54 E,강원 동해시 북동쪽 54km 해역,지도,상세정보
1580,2024-08-27 0:15,2.7,12,Ⅰ,41.28 N,129.09 E,북한 함경북도 길주 북북서쪽 41km 지역,지도,상세정보
1579,2024-08-25 23:28,3,24,Ⅱ,37.86 N,129.52 E,강원 동해시 북동쪽 52km 해역,지도,-
1578,2024-08-25 23:28,2.4,25,Ⅱ,37.87 N,129.51 E,강원 동해시 북동쪽 52km 해역,지도,상세정보
1577,2024-08-23 1:42,2.1,9,Ⅰ,36.96 N,126.31 E,충남 서산시 북북서쪽 23km 해역,지도,상세정보
1576,2024-08-04 0:27,2.7,18,Ⅰ,34.79 N,124.66 E,전남 신안군 흑산도 서쪽 71km 해역,지도,상세정보
1575,2024-08-01 12:50,2.6,9,Ⅰ,38.77 N,125.89 E,북한 황해북도 송림 동쪽 22km 지역,지도,상세정보
1574,2024-08-01 8:34,3,9,Ⅰ,38.76 N,125.89 E,북한 황해북도 송림 동쪽 22km 지역,지도,상세정보
1573,2024-07-29 21:56,2.3,14,Ⅰ,38.78 N,125.89 E,북한 황해북도 송림 동북동쪽 23km 지역,지도,상세정보
1572,2024-07-27 12:50,2.9,17,Ⅰ,41.30 N,129.13 E,북한 함경북도 길주 북북서쪽 42km 지역,지도,상세정보
1571,2024-07-26 22:52,2.6,7,Ⅰ,35.57 N,125.14 E,전북 군산시 어청도 남서쪽 97km 해역,지도,상세정보
1570,2024-07-06 2:19,2.4,16,Ⅲ,36.51 N,128.85 E,경북 안동시 동남동쪽 13km 지역,지도,상세정보
1569,2024-07-03 14:24,2.3,8,Ⅱ,35.70 N,126.72 E,전북 부안군 남남서쪽 4km 지역,지도,상세정보
1568,2024-06-27 3:04,2.1,6,Ⅰ,39.56 N,127.04 E,북한 함경남도 금야 서쪽 17km 지역,지도,상세정보
1567,2024-06-22 13:49,2,16,Ⅰ,32.97 N,126.28 E,제주 서귀포시 남서쪽 41km 해역,지도,상세정보
1566,2024-06-12 13:55,3.1,8,Ⅳ,35.70 N,126.73 E,전북 부안군 남쪽 4km 지역,지도,상세정보
1565,2024-06-12 8:26,4.8,8,Ⅴ,35.70 N,126.72 E,전북 부안군 남남서쪽 4km 지역,지도,지진분석서
1564,2024-06-09 15:16,2.1,7,Ⅰ,33.40 N,125.10 E,제주 제주시 서쪽 133km 해역,지도,상세정보
1563,2024-06-08 23:04,2.2,15,Ⅰ,38.87 N,129.18 E,북한 강원 회양 동쪽 138km 해역,지도,상세정보
1562,2024-06-03 2:25,2.5,14,Ⅲ,38.24 N,128.69 E,강원 속초시 동북동쪽 9km 해역,지도,상세정보
1561,2024-06-01 11:55,2.1,6,Ⅰ,41.33 N,129.17 E,북한 함경북도 길주 북북서쪽 44km 지역,지도,상세정보
1560,2024-06-01 0:53,2.4,11,Ⅱ,36.24 N,128.20 E,경북 김천시 북동쪽 14km 지역,지도,상세정보
1559,2024-05-31 3:35,2.8,9,Ⅲ,38.13 N,127.09 E,경기 연천군 북북동쪽 4km 지역,지도,상세정보
1558,2024-05-22 12:29,2.3,16,Ⅰ,41.27 N,129.06 E,북한 함경북도 길주 북북서쪽 42km 지역,지도,상세정보
1557,2024-05-20 10:31,2.6,22,Ⅰ,35.63 N,129.83 E,울산 동구 동북동쪽 40km 해역,지도,상세정보
1556,2024-05-09 5:41,2.2,11,Ⅰ,41.32 N,129.18 E,북한 함경북도 길주 북북서쪽 42km 지역,지도,상세정보
1555,2024-05-08 0:50,2.2,11,Ⅰ,38.80 N,126.17 E,북한 황해북도 연산 남서쪽 11km 지역,지도,상세정보
1554,2024-04-30 1:54,2.5,16,Ⅰ,41.30 N,129.14 E,북한 함경북도 길주 북북서쪽 41km 지역,지도,상세정보
1553,2024-04-28 10:33,2.2,14,Ⅲ,35.61 N,128.28 E,경남 합천군 동북동쪽 11km 지역,지도,상세정보
1552,2024-04-22 18:47,2,20,Ⅰ,33.31 N,127.10 E,제주 서귀포시 동쪽 51km 해역,지도,상세정보
1551,2024-04-22 7:47,2.6,6,Ⅳ,36.00 N,128.35 E,경북 칠곡군 서쪽 5km 지역,지도,상세정보
1550,2024-04-10 15:30,2.9,6,Ⅰ,39.44 N,125.88 E,북한 평안남도 평성 북쪽 22km 지역,지도,상세정보
1549,2024-03-27 11:14,2.7,16,Ⅰ,41.31 N,129.12 E,북한 함경북도 길주 북북서쪽 43km 지역,지도,상세정보
1548,2024-03-27 9:45,2.5,20,Ⅰ,41.30 N,129.15 E,북한 함경북도 길주 북북서쪽 41km 지역,지도,-
1547,2024-03-27 9:43,2.9,24,Ⅰ,41.29 N,129.19 E,북한 함경북도 길주 북북서쪽 39km 지역,지도,상세정보
1546,2024-03-25 21:16,2.1,7,Ⅰ,35.11 N,125.07 E,전남 신안군 흑산도 북북서쪽 58km 해역,지도,상세정보
1545,2024-03-22 8:05,2.4,20,Ⅰ,33.69 N,125.14 E,전남 신안군 흑산도 남남서쪽 112km 해역,지도,상세정보
1544,2024-03-15 22:35,2.2,20,Ⅰ,41.30 N,129.20 E,북한 함경북도 길주 북북서쪽 40km 지역,지도,상세정보
1543,2024-03-03 8:53,2.8,14,Ⅰ,35.09 N,125.09 E,전남 신안군 흑산도 북북서쪽 56km 해역,지도,상세정보
1542,2024-02-14 23:33,2.2,20,Ⅰ,41.28 N,129.15 E,북한 함경북도 길주 북북서쪽 39km 지역,지도,상세정보
1541,2024-02-08 3:15,2.3,21,Ⅰ,41.46 N,129.25 E,북한 함경북도 길주 북쪽 57km 지역,지도,상세정보
1540,2024-02-03 2:24,2,13,Ⅱ,35.96 N,127.00 E,전북 익산시 동북동쪽 4km 지역,지도,상세정보
1539,2024-01-31 17:36,3.8,15,Ⅱ,32.59 N,125.53 E,제주 서귀포시 이어도 북북동쪽 61km 해역,지도,상세정보
1538,2024-01-24 19:12,2,18,Ⅰ,35.76 N,129.19 E,경북 경주시 남남서쪽 11km 지역,지도,상세정보
1537,2024-01-24 12:25,2.1,6,Ⅰ,38.85 N,125.77 E,북한 황해북도 송림 북동쪽 17km 지역,지도,상세정보
1536,2024-01-13 8:03,2.4,8,Ⅰ,37.65 N,124.65 E,인천 옹진군 백령도 남쪽 34km 해역,지도,상세정보
1535,2024-01-11 19:00,2.4,20,Ⅰ,41.30 N,129.16 E,북한 함경북도 길주 북북서쪽 41km 지역,지도,상세정보
1534,2024-01-06 20:02,2.4,17,Ⅰ,33.59 N,127.22 E,전남 여수시 거문도 남쪽 49km 해역,지도,상세정보
