"국외 지진 검색 결과를 번호, 발생시각, 규모, 깊이, 위도, 경도, 위치, 지도보기로 제공하는 표",,,,,,,
number,origin_time,magnitude,depth,latitude,longitude,location,map
2079,2025-04-03 23:09,6.8,10,52.49 N,32.10 W,아이슬란드 레이캬비크 남남서쪽 1421km 해역,지도
2078,2025-04-02 23:04,6,40,31.00 N,131.50 E,일본 미야자키현 미야자키시 남쪽 102km 해역,지도
2077,2025-04-02 9:29,6.4,10,57.05 S,142.25 W,태평양-남극 해령,지도
2076,2025-03-31 0:04,6.1,10,20.37 S,173.83 W,통가 누쿠알로파 동북동쪽 166km 해역,지도
2075,2025-03-30 21:18,7.3,55,20.60 S,173.40 W,통가 누쿠알로파 동북동쪽 197km 해역,지도
2074,2025-03-29 2:17,6.6,6,0.72 N,29.76 W,대서양 중앙 해령,지도
2073,2025-03-28 15:32,6.4,10,21.71 N,95.97 E,미얀마 만달레이 남남서쪽 32km 지역,지도
2072,2025-03-28 15:20,7.7,10,22.01 N,95.92 E,미얀마 만달레이 서북서쪽 17km 지역,지도
2071,2025-03-28 9:34,6.1,10,0.74 N,29.67 W,대서양 중앙 해령,지도
2070,2025-03-25 10:43,6.8,10,46.66 S,165.98 E,뉴질랜드 인버카길 서쪽 183km 해역,지도
2069,2025-03-23 7:14,5.2,130,25.70 N,124.70 E,일본 오키나와현 나하시 서쪽 303km 해역,지도
2068,2025-03-21 23:53,6.2,26,51.18 N,176.15 W,미국 알래스카 아닥 남남동쪽 84km 해역,지도
2067,2025-03-21 23:50,6.2,10,7.04 N,82.37 W,파나마 다비드 남쪽 155km 해역,지도
2066,2025-03-15 8:42,6,35,55.74 S,27.11 W,남대서양 사우스 샌드위치 제도 해역,지도
2065,2025-03-10 11:33,6.5,10,71.20 N,8.19 W,아이슬란드 아쿠레이리 북동쪽 731km 해역,지도
2064,2025-03-07 1:21,6.1,94,23.39 S,69.07 W,칠레 안토파가스타 동북동쪽 138km 지역,지도
2063,2025-03-05 22:27,5.2,14,23.15 N,120.51 E,대만 자이시 남쪽 37km 지역,지도
2062,2025-02-26 7:55,6.1,10,0.39 N,124.83 E,인도네시아 마나도 남쪽 121km 해역,지도
2061,2025-02-24 3:16,6,77,11.38 S,166.18 E,바누아투 루간빌 북북서쪽 472km 해역,지도
2060,2025-02-15 5:28,6,10,8.96 N,39.93 E,에티오피아 아다마(나즈르트) 동북동쪽 86km 지역,지도
2059,2025-02-09 8:23,7.6,10,17.70 N,82.46 W,온두라스 라세이바 동북동쪽 508km 해역,지도
2058,2025-02-08 1:46,5.2,7,23.28 N,120.62 E,대만 자이시 남동쪽 28km 지역,지도
2057,2025-02-07 19:27,6,59,23.92 S,176.14 W,통가 누쿠알로파 남남서쪽 324km 해역,지도
2056,2025-01-30 11:11,5.6,10,23.24 N,120.61 E,대만 자이시 남남동쪽 31km 지역,지도
2055,2025-01-27 9:18,5.2,7,22.76 N,121.05 E,대만 타이둥현 서쪽 10km 지역,지도
2054,2025-01-27 1:31,5,30,25.10 N,125.60 E,일본 오키나와현 나하시 서남서쪽 242km 해역,지도
2053,2025-01-26 8:38,5.7,8,23.18 N,120.54 E,대만 자이시 남남동쪽 35km 지역,지도
