"국외 지진 검색 결과를 번호, 발생시각, 규모, 깊이, 위도, 경도, 위치, 지도보기로 제공하는 표",,,,,,,
number,origin_time,magnitude,depth,latitude,longitude,location,map
1618,2022-05-07 20:54,5.7,20,27.00 N,126.40 E,일본 오키나와현 오키나와 북서쪽 155km 해역,지도
1617,2022-05-06 22:21,5.4,20,26.80 N,126.50 E,일본 오키나와현 오키나와 서북서쪽 134km 해역,지도
1616,2022-04-28 22:21,6,10,3.95 S,146.66 E,파푸아뉴기니 마당 북동쪽 170km 해역,지도
1615,2022-04-21 16:42,6.8,10,11.50 N,87.00 W,니카라과 레온 남쪽 105km 해역,지도
1614,2022-04-21 6:57,6,51,6.98 N,126.95 E,필리핀 마티 동쪽 80km 해역,지도
1613,2022-04-19 16:06,5.6,184,25.29 N,123.52 E,대만 타이베이 동쪽 200km 해역,지도
1612,2022-04-19 13:33,6,10,21.45 S,173.92 W,통가 통가타푸섬 동남동쪽 130km 해역,지도
1611,2022-04-19 10:23,6.2,39,7.12 N,126.78 E,필리핀 마티 동북동쪽 65km 해역,지도
1610,2022-04-19 8:16,5.3,90,36.90 N,140.40 E,일본 이바라키현(혼슈) 미토 북쪽 60km 지역,지도
1609,2022-04-14 9:15,5,10,26.80 N,126.50 E,일본 오키나와현 오키나와 서북서쪽 134km 해역,지도
1608,2022-04-13 10:22,5.7,20,26.80 N,126.40 E,일본 오키나와현 오키나와 서북서쪽 143km 해역,지도
1607,2022-04-10 5:52,6.2,10,16.32 S,166.85 E,바누아투 포트빌라 북서쪽 222km 해역,지도
1606,2022-04-06 0:04,5.4,50,37.80 N,141.60 E,일본 미야기현(혼슈) 센다이 남동쪽 83km 해역,지도
1605,2022-04-05 1:06,6,33,17.48 S,167.87 E,바누아투 포트빌라 서북서쪽 55km 해역,지도
1604,2022-04-04 19:29,5.1,40,37.30 N,141.60 E,일본 후쿠시마현(혼슈) 후쿠시마 동남동쪽 112km 해역,지도
1603,2022-04-01 4:50,6.3,10,22.73 S,170.65 E,뉴칼레도니아 누메아 동쪽 435km 해역,지도
1602,2022-03-31 14:44,7.2,10,22.70 S,170.30 E,뉴칼레도니아 누메아 동쪽 399km 해역,지도
1601,2022-03-31 5:56,6.7,10,22.72 S,170.28 E,뉴칼레도니아 누메아 동쪽 397km 해역,지도
1600,2022-03-30 2:36,5.5,20,26.90 N,126.40 E,일본 오키나와현 오키나와 서북서쪽 149km 해역,지도
1599,2022-03-27 8:15,5.1,60,42.30 N,143.10 E,일본 홋카이도 구시로 남서쪽 129km 지역,지도
1598,2022-03-27 0:39,5.6,20,26.80 N,126.20 E,일본 오키나와현 오키나와 서북서쪽 161km 해역,지도
1597,2022-03-26 1:21,6,10,38.50 N,97.33 E,중국 칭하이 하이시 북쪽 125km 지역,지도
1596,2022-03-24 9:38,5.3,20,23.44 N,121.46 E,대만 화롄 남쪽 58km 지역,지도
1595,2022-03-24 7:53,5.1,10,26.90 N,126.20 E,일본 오키나와현 오키나와 서북서쪽 166km 해역,지도
1594,2022-03-24 3:11,5.2,20,26.80 N,126.30 E,일본 오키나와현 오키나와 서북서쪽 152km 해역,지도
1593,2022-03-23 2:41,6.6,31,23.43 N,121.52 E,대만 화롄 남쪽 58km 해역,지도
1592,2022-03-23 1:35,6.7,10,10.82 N,43.39 W,북대서양 중앙 해령 남쪽 해역,지도
1591,2022-03-20 6:24,6.3,10,25.35 S,175.91 W,통가 통가타푸섬 남쪽 450km 해역,지도
1590,2022-03-19 4:04,5.9,180,25.60 N,124.00 E,일본 오키나와현 미야코지마시 북서쪽 158km 해역,지도
1589,2022-03-18 23:25,5.5,20,40.00 N,142.10 E,일본 이와테현(혼슈) 모리오카 동북동쪽 87km 해역,지도
1588,2022-03-17 20:33,5.9,20,26.80 N,126.30 E,일본 오키나와현 오키나와 서북서쪽 152km 해역,지도
1587,2022-03-17 14:06,5.3,180,25.80 N,123.90 E,일본 오키나와현 이리오모테섬 북쪽 150km 해역,지도
1586,2022-03-16 23:36,7.3,33,37.70 N,141.70 E,일본 미야기현(혼슈) 센다이 남동쪽 96km 해역,지도
1585,2022-03-14 6:09,6.6,16,0.68 S,98.60 E,인도네시아 파당 서쪽 197km 해역,지도
1584,2022-03-14 6:06,6.7,33,14.10 N,119.40 E,필리핀 올롱가포 남서쪽 125km 해역,지도
1583,2022-03-09 21:22,5.6,35,23.25 N,121.44 E,대만 화롄 남쪽 79km 해역,지도
1582,2022-03-07 14:34,6.1,582,20.38 S,178.43 W,피지 수바 남동쪽 412km 해역,지도
1581,2022-03-07 5:14,6.1,24,58.68 S,25.06 W,남대서양 사우스 샌드위치제도 해역,지도
1580,2022-03-06 12:51,5.1,109,24.81 N,122.23 E,대만 타이베이 동남동쪽 74km 해역,지도
1579,2022-03-02 21:52,6.6,38,30.05 S,177.74 W,뉴질랜드 케르메덱 제도 해역,지도
1578,2022-02-25 17:51,5.4,20,26.80 N,126.30 E,일본 오키나와현 오키나와 서북서쪽 152km 해역,지도
1577,2022-02-25 10:39,6.2,12,0.23 N,100.11 E,인도네시아 수마트라 파당 북북서쪽 135km 지역,지도
1576,2022-02-22 8:24,6.6,10,69.77 S,165.41 E,남극 발레니 제도 남쪽 310km 해역,지도
1575,2022-02-22 5:52,5.9,10,26.90 N,126.40 E,일본 오키나와현 오키나와 서북서쪽 149km 해역,지도
1574,2022-02-17 5:21,6.8,528,23.79 S,179.97 W,통가 통가타푸섬 서남서쪽 570km 해역,지도
1573,2022-02-16 16:12,6.2,84,14.19 N,91.30 W,과테말라 에스쿠인틀라 서남서쪽 57km 지역,지도
1572,2022-02-09 7:41,5.1,-,26.80 N,126.40 E,일본 오키나와현 오키나와 서북서쪽 143km 해역,지도
1571,2022-02-09 1:36,5.6,-,26.80 N,126.40 E,일본 오키나와현 오키나와 서북서쪽 143km 해역,지도
1570,2022-02-08 20:59,6.1,10,0.40 S,19.87 W,대서양 중앙 해령,지도
1569,2022-02-05 5:25,6.1,10,48.01 S,99.50 E,호주 퍼스 남서쪽 2243km 해역,지도
1568,2022-02-04 0:58,6.5,100,4.46 S,76.94 W,페루 모요밤바 북쪽 176km 지역,지도
1567,2022-01-29 11:46,6.6,33,29.75 S,174.71 W,뉴질랜드 케르메덱 제도 해역,지도
1566,2022-01-28 20:14,6.1,10,5.49 N,82.59 W,파나마 아레나스 남서쪽 282km 해역,지도
1565,2022-01-27 15:40,6.2,15,19.14 S,176.32 W,통가 누쿠알로파 북북서 251km 해역,지도
1564,2022-01-25 10:24,6,35,55.43 S,28.77 W,남대서양 사우스 샌드위치제도 해역,지도
1563,2022-01-22 14:17,6.3,3,53.09 N,166.58 W,알래스카 앵커리지 남서쪽 1345km 해역,지도
1562,2022-01-22 11:26,6,24,3.70 N,126.68 E,인도네시아 비퉁 북북동쪽 299km 해역,지도
1561,2022-01-22 1:08,6.4,40,32.70 N,132.10 E,일본 오이타현(규슈) 오이타 남동쪽 75km 해역,지도
1560,2022-01-16 21:52,6.1,408,6.45 S,154.82 E,파푸아뉴기니 부건빌 아라와 서남서쪽 86km 해역,지도
1559,2022-01-14 18:05,6.6,37,6.93 S,105.25 E,인도네시아 랑카스비퉁 서남서쪽 127km 해역,지도
1558,2022-01-11 21:39,6.7,12,52.63 N,168.15 W,알라스카 앵커리지 남서쪽 1449km 해역,지도
1557,2022-01-11 20:35,6.7,33,52.48 N,167.74 W,알라스카 앵커리지 남서쪽 1443km 해역,지도
1556,2022-01-11 10:07,6.6,20,35.15 N,31.91 E,키프로스 폴리스 서북서쪽 48km 해역,지도
1555,2022-01-08 2:45,6.9,10,37.77 N,101.26 E,중국 간쑤성 진창시 남서쪽 115km 지역,지도
1554,2022-01-07 1:25,6.2,28,11.95 N,87.20 W,니카라과 코린토 남쪽 59km 해역,지도
1553,2022-01-05 5:55,6,556,4.80 S,125.05 E,인도네시아 카타부 동쪽 281km 해역,지도
1552,2022-01-04 6:09,6.3,70,27.10 N,142.50 E,일본 시즈오카현(혼슈) 시즈오카 남남동쪽 959km 해역,지도
1551,2022-01-03 18:46,6,19,24.02 N,122.18 E,대만 화롄 동쪽 64km 해역,지도
1550,2021-12-30 3:25,7.3,167,7.59 S,127.58 E,동티모르 로스팔로스 북북동쪽 121km 해역,지도
1549,2021-12-27 0:42,6.1,627,18.08 S,179.36 W,피지 수바 동쪽 233km 해역,지도
1548,2021-12-26 17:26,6,40,25.30 N,125.70 E,일본 오키나와현 오키나와 서남서쪽 223km 해역,지도
1547,2021-12-25 21:39,6,105,17.09 S,173.62 W,통가 누쿠알로파 북북동쪽 480km 해역,지도
1546,2021-12-23 8:22,6,9,18.90 N,107.17 W,멕시코 푸에르토바야르타 남서쪽 282km 해역,지도
1545,2021-12-21 5:10,6.2,9,40.32 N,124.74 W,미국 캘리포니아 페트롤리아 서쪽 38km 해역,지도
1544,2021-12-20 12:39,6,10,56.85 S,24.09 W,사우스 샌드위치 제도 해역,지도
1543,2021-12-20 1:28,6.3,10,16.28 S,178.55 E,피지 라바사 서쪽 88km 해역,지도
1542,2021-12-19 5:05,6,10,47.10 S,33.46 E,남아프리카공화국 포트엘리자베스 남남동쪽 1598km 해역,지도
1541,2021-12-17 6:14,6.1,10,60.23 S,23.85 W,사우스 샌드위치 제도 해역,지도
1540,2021-12-14 12:20,7.6,76,7.80 S,122.30 E,인도네시아 마우메레 북쪽 91km 해역,지도
1539,2021-12-12 17:58,6.5,10,60.69 S,154.11 E,호주 매쿼리섬 남서쪽 720km 해역,지도
1538,2021-12-12 12:31,5,50,36.10 N,139.90 E,일본 고시가야 북북동쪽 25km 지역,지도
1537,2021-12-09 11:05,6,20,29.40 N,129.40 E,일본 가고시마현(규슈) 가고시마 남남서쪽 268km 해역,지도
1536,2021-12-05 8:47,6,174,4.07 N,128.14 E,인도네시아 토벨로 북쪽 259km 해역,지도
1535,2021-12-03 21:08,4.5,17,35.81 N,123.88 E,중국 청도 동쪽 324km 해역,지도
1534,2021-12-03 17:33,6,10,60.46 S,27.11 W,사우스 샌드위치 제도 해역,지도
1533,2021-12-03 13:40,6.2,10,28.63 S,112.26 W,칠레 이스터섬 서남서쪽 324km 해역,지도
1532,2021-12-03 9:28,5.4,20,33.80 N,135.20 E,일본 와카야마현(혼슈) 와카야마 남쪽 48km 해역,지도
1531,2021-12-02 1:58,5,60,36.20 N,140.00 E,일본 도치기현(혼슈) 우쓰노미야 남남동쪽 41km 지역,지도
1530,2021-11-30 19:36,6,10,3.52 S,151.16 E,파푸아뉴기니 뉴아일랜드 남남동쪽 113km 해역,지도
1529,2021-11-29 21:41,6.6,10,31.10 N,142.80 E,일본 지바현(혼슈) 지바 남남동쪽 560km 해역,지도
1528,2021-11-28 19:52,7.4,99,4.50 S,76.70 W,페루 바랑카 북쪽 36km 지역,지도
1527,2021-11-25 21:04,6,40,10.75 S,166.49 E,솔로몬 제도 라타 동쪽 75km 해역,지도
1526,2021-11-18 23:08,6.2,36,5.32 S,153.67 E,파푸아뉴기니 코코포 남동쪽 189km 해역,지도
1525,2021-11-17 14:54,5,17,33.50 N,121.19 E,중국 상해 북쪽 254km 해역,지도
1524,2021-11-15 13:23,6,10,37.49 S,51.27 E,마다가스카르 톨라나로 남남동쪽 1440km 해역,지도
1523,2021-11-14 21:08,6.3,10,27.74 N,56.08 E,이란 반다르 아바스 북북서쪽 64km 지역,지도
1522,2021-11-11 0:45,6.6,10,23.30 N,126.60 E,일본 오키나와현 오키나와 남남서쪽 342km 해역,지도
1521,2021-11-09 15:25,6.2,35,11.23 N,86.52 W,니카라과 마사차파 남쪽 61km 해역,지도
1520,2021-11-01 9:02,6.1,35,58.05 S,25.32 W,사우스 샌드위치 제도 해역,지도
1519,2021-11-01 6:14,5.2,60,36.50 N,140.60 E,일본 이바라키현(혼슈) 미토 북동쪽 19km 지역,지도
1518,2021-10-26 14:48,6,10,58.34 S,14.81 W,사우스 샌드위치 제도 해역,지도
1517,2021-10-24 14:11,6.5,67,24.53 N,121.79 E,대만 타이베이 남남동쪽 62km 지역,지도
1516,2021-10-21 17:10,6,497,25.24 S,179.64 E,남태평양 피지 수바 남쪽 799km 해역,지도
1515,2021-10-19 14:32,6,38,34.57 N,28.39 E,그리스 로도스 남쪽 208km 해역,지도
1514,2021-10-18 16:26,6.1,97,13.74 S,166.94 E,바누아투 산마 루간빌 북쪽 200km 해역,지도
1513,2021-10-15 11:44,6.6,33,8.88 S,158.43 E,솔로몬제도 부알라 서남서쪽 151km 해역,지도
1512,2021-10-12 18:24,6.4,10,35.19 N,26.26 E,그리스 크레타섬 헤라클리온 동쪽 102km 지역,지도
1511,2021-10-11 18:10,6.5,46,56.27 N,156.55 W,알래스카 앵커리지 남남서쪽 670km 해역,지도
1510,2021-10-11 6:48,6.1,17,18.80 N,155.53 W,하와이 나알레후 남쪽 29km 해역,지도
1509,2021-10-09 19:58,7,524,21.06 S,174.47 E,피지 나디 남서쪽 476km 해역,지도
1508,2021-10-08 5:13,6.1,10,58.78 S,158.45 E,뉴질랜드 크라이스트처치 남서쪽 1960km 해역,지도
1507,2021-10-07 22:41,6.1,80,35.60 N,140.10 E,일본 지바현(혼슈) 지바 남서쪽 1km 지역,지도
1506,2021-10-06 3:03,5.5,20,25.70 N,125.00 E,일본 오키나와현 오키나와 서남서쪽 274km 해역,지도
1505,2021-10-06 2:46,6,50,40.00 N,142.40 E,일본 이와테현(혼슈) 모리오카 동북동쪽 111km 해역,지도
1504,2021-10-06 2:30,5.4,10,25.80 N,125.00 E,일본 오키나와현 오키나와 서쪽 272km 해역,지도
1503,2021-10-04 12:54,6.2,10,60.43 S,27.51 W,사우스 샌드위치 제도 해역,지도
1502,2021-10-02 15:29,7.2,487,20.87 S,174.93 E,피지 수바 남서쪽 477km 해역,지도
1501,2021-09-29 17:37,6.1,400,38.80 N,135.50 E,일본 이시카와현(혼슈) 가나자와 북북서쪽 269km 해역,지도
1500,2021-09-27 15:17,6,9,35.25 N,25.26 E,그리스 크레타섬 헤라클리온 남동쪽 14km 지역,지도
1499,2021-09-26 7:21,5.7,45,24.32 N,121.69 E,대만 화롄 북북동쪽 43km 지역,지도
1498,2021-09-24 20:52,6.3,50,51.05 N,178.94 W,알래스카 아닥 서남서쪽 184km 해역,지도
1497,2021-09-22 18:57,6.7,10,12.10 N,87.80 W,니카라과 코린토 서남서쪽 80km 해역,지도
1496,2021-09-21 22:14,6.4,13,36.79 S,74.03 W,칠레 비오비오주 콘셉시온 서쪽 88km 해역,지도
1495,2021-09-21 5:26,6.5,10,45.80 N,153.50 E,일본 홋카이도 구시로 동북동쪽 789km 해역,지도
1494,2021-09-19 17:18,5,10,36.30 N,137.60 E,일본 도야마현(혼슈) 도야마 남동쪽 56km 지역,지도
1493,2021-09-16 18:42,5.2,10,37.50 N,137.30 E,일본 도야마현(혼슈) 도야마 북쪽 90km 지역,지도
1492,2021-09-16 5:33,6,10,29.20 N,105.34 E,중국 쓰촨성 루저우시 북북서쪽 37km 지역,지도
1491,2021-09-14 7:46,6.2,450,32.20 N,138.20 E,일본 시즈오카현(혼슈) 시즈오카 남쪽 309km 해역,지도
1490,2021-09-13 19:41,5.6,47,24.12 N,121.02 E,대만 화롄 서북서쪽 57km 지역,지도
1489,2021-09-13 14:18,6.2,193,23.89 S,67.02 W,아르헨티나 샌안토니오 데로스 코브레스 서북서쪽 79km 지역,지도
1488,2021-09-08 10:47,7.4,50,17.10 N,99.60 W,멕시코 아카풀코 남서쪽 43km 지역,지도
1487,2021-08-31 11:52,6.5,40,30.10 S,176.60 W,뉴질랜드 케르마덱 제도 해역,지도
1486,2021-08-23 6:33,7.2,10,60.30 S,25.00 W,사우스 샌드위치 제도 해역,지도
1485,2021-08-14 21:29,7.2,10,18.35 N,73.48 W,아이티 세인트 루이스 두 서드 북동쪽 12km 지역,지도
1484,2021-08-13 3:32,7.5,63,57.60 S,25.19 W,남 샌드위치 아일랜드 브리스톨섬 북북동쪽 180km 해역,지도
1483,2021-08-12 2:46,7.1,66,6.46 N,126.74 E,필리핀 민다나오섬 다바오 남동쪽 143km 해역,지도
1482,2021-08-06 20:12,5.4,6,23.15 N,121.29 E,대만 화롄 남남서쪽 93km 지역,지도
1481,2021-08-06 17:11,5.5,8,24.79 N,122.21 E,대만 타이베이 동남동쪽 72km 해역,지도
1480,2021-08-05 6:50,6.1,17,24.80 N,122.45 E,대만 타이베이 동남동쪽 95km 해역,지도
1479,2021-08-04 13:40,5.8,30,36.20 N,142.00 E,일본 이바라키현(혼슈) 미토 동쪽 138km 해역,지도
1478,2021-08-04 5:33,6,40,36.30 N,141.80 E,일본 이바라키현(혼슈) 미토 동쪽 119km 해역,지도
1477,2021-07-31 14:26,5,180,43.30 N,141.80 E,일본 홋카이도 삿포로 북동쪽 45km 지역,지도
1476,2021-07-31 2:10,6.1,33,4.92 S,80.61 W,페루 수야나 동쪽 8km 지역,지도
1475,2021-07-29 15:15,7.3,12,55.31 N,157.84 W,미국 알래스카 페리빌 남동쪽 105km 해역,지도
1474,2021-07-16 13:20,5.5,10,33.20 N,139.40 E,일본 시즈오카현(혼슈) 시즈오카 남남동쪽 218km 해역,지도
1473,2021-07-14 7:52,5.2,6,23.95 N,121.60 E,대만 화롄 동쪽 5km 지역,지도
1472,2021-07-08 7:11,5.4,10,23.90 N,121.58 E,대만 화롄 남남동쪽 6km 지역,지도
1471,2021-07-07 20:24,5.4,8,23.90 N,121.59 E,대만 화롄 남동쪽 7km 지역,지도
1470,2021-06-20 20:08,5.4,160,43.50 N,142.70 E,일본 홋카이도 삿포로 동북동쪽 119km 지역,지도
1469,2021-06-11 16:33,5.3,11,23.89 N,121.53 E,대만 화롄 남남서쪽 7km 지역,지도
1468,2021-06-11 14:12,5,11,23.90 N,121.54 E,대만 화롄 남쪽 6km 지역,지도
1467,2021-05-31 15:59,6,46,62.46 N,148.20 W,미국 알래스카 치카룬 북쪽 74km 지역,지도
1466,2021-05-30 22:34,5.6,540,27.60 N,141.10 E,일본 시즈오카현(혼슈) 시즈오카 남남동쪽 860km 해역,지도
1465,2021-05-29 10:03,5.6,20,36.40 N,141.80 E,일본 이바라키현(혼슈) 미토 동쪽 119km 해역,지도
1464,2021-05-22 3:04,7.4,10,34.59 N,98.26 E,중국 칭하이성 시닝 남서쪽 389km 지역,지도
1463,2021-05-21 22:48,6,10,25.77 N,100.01 E,중국 윈난성 다리 북서쪽 29km 지역,지도
1462,2021-05-16 12:24,6.1,60,41.90 N,144.90 E,일본 홋카이도 구시로 남남동쪽 128km 해역,지도
1461,2021-05-14 8:58,6,40,37.70 N,141.80 E,일본 미야기현(혼슈) 센다이 남동쪽 103km 해역,지도
1460,2021-05-03 14:08,5.8,190,25.70 N,123.80 E,일본 오키나와현 이리오모테섬 북쪽 150km 해역,지도
1459,2021-05-01 10:27,6.6,60,38.10 N,141.80 E,일본 미야기현(혼슈) 센다이 동남동쪽 83km 해역,지도
1458,2021-04-28 11:21,6,29,26.79 N,92.42 E,인도 아삼 데키아줄리 북북서쪽 10km 지역,지도
1457,2021-04-18 23:11,5.8,15,23.87 N,121.49 E,대만 화롄 남서쪽 11km 지역,지도
1456,2021-04-18 9:29,5.8,50,38.30 N,141.90 E,일본 미야기현(혼슈) 센다이 동쪽 90km 해역,지도
1455,2021-03-28 9:27,5.8,50,33.70 N,140.50 E,일본 가나가와현(혼슈) 요코하마 남남동쪽 209km 해역,지도
1454,2021-03-27 7:02,6.2,150,26.10 N,125.00 E,일본 오키나와현 오키나와 서쪽 268km 해역,지도
1453,2021-03-20 18:09,7.2,-,38.40 N,141.70 E,일본 미야기현(혼슈) 센다이 동쪽 74km 해역,지도
1452,2021-03-19 15:11,6.1,10,31.94 N,92.74 E,중국 티베트 나취 북동쪽 83km 지역,지도
1451,2021-03-07 3:51,5.7,10,20.89 N,144.32 E,마리아나 제도 해역,지도
1450,2021-03-07 3:18,5.5,14,21.10 N,144.47 E,마리아나 제도 해역,지도
1449,2021-03-05 4:28,7.8,10,29.75 S,177.22 W,뉴질랜드 케르마덱 제도 해역,지도
1448,2021-03-05 2:41,7.4,56,29.61 S,177.84 W,뉴질랜드 케르마덱 제도 해역,지도
1447,2021-03-04 22:27,7.3,10,37.80 S,179.50 W,뉴질랜드 기스본 동북동쪽 238km 해역,지도
1446,2021-03-03 19:16,6.3,10,39.76 N,22.18 E,그리스 테살리아 라리사 북서쪽 25km 지역,지도
1445,2021-03-02 18:23,5.8,31,21.91 N,121.13 E,대만 카오슝 남동쪽 115km 해역,지도
1444,2021-02-13 23:08,7.1,60,37.70 N,141.80 E,일본 미야기현(혼슈) 센다이 남동쪽 103km 해역,지도
1443,2021-02-10 22:19,7.9,33,23.10 S,171.50 E,뉴칼레도니아 누메아 동쪽 526km 해역,지도
1442,2021-02-09 1:58,5.7,24,24.37 N,122.02 E,대만 화롄 북동쪽 67km 해역,지도
1441,2021-02-09 1:56,5.5,69,24.36 N,122.36 E,대만 화롄 동북동쪽 94km 해역,지도
1440,2021-02-07 13:22,6,25,6.76 N,125.21 E,필리핀 막사이사이 동쪽 2km 지역,지도
1439,2021-02-07 2:36,6.1,112,24.66 N,122.60 E,대만 타이베이 동남동쪽 114km 해역,지도
1438,2021-02-01 0:52,5.7,150,22.50 N,143.60 E,일본 시즈오카현(혼슈) 시즈오카 남남동쪽 1477km 해역,지도
1437,2021-01-27 14:07,5.4,130,42.70 N,142.00 E,일본 홋카이도 삿포로 남동쪽 66km 지역,지도
1436,2021-01-25 16:25,5.7,60,23.37 N,123.71 E,대만 화롄 동남동쪽 229km 해역,지도
1435,2021-01-24 8:36,7,8,61.85 S,55.56 W,사우스셰틀랜드 제도 해역,지도
1434,2021-01-21 21:23,7,96,5.01 N,127.52 E,필리핀 민다나오섬 다바오 남동쪽 312km 해역,지도
1433,2021-01-19 11:46,6.4,14,31.84 S,68.81 W,아르헨티나 산후안 남서쪽 42km,지도
1432,2021-01-19 3:21,4.6,12,35.79 N,123.97 E,중국 청도 동쪽 332km 해역,지도
1431,2021-01-15 3:28,6.2,18,3.01 S,118.92 E,인도네시아 서 술라웨시 마무주 남쪽 36km 지역,지도
1430,2021-01-12 11:40,5.6,240,43.60 N,140.00 E,일본 홋카이도 삿포로 서북서쪽 125km 해역,지도
1429,2021-01-12 6:32,6.8,10,51.24 N,100.44 E,몽골 무릉 북쪽 180km 지역,지도
1428,2021-01-10 12:54,6.1,203,24.02 S,66.67 W,아르헨티나 살타 북서쪽 153km 지역,지도
1427,2021-01-09 20:35,5.7,72,24.72 N,122.04 E,대만 타이베이 남동쪽 61km 해역,지도
1426,2020-12-30 9:35,5.1,60,36.40 N,140.60 E,일본 이바라키현(혼슈) 미토 동북동쪽 12km 지역,지도
1425,2020-12-29 20:19,6.4,10,45.41 N,16.30 E,크로아티아 페트리냐 남남동쪽 2km 지역,지도
1424,2020-12-25 8:43,6.2,108,13.80 N,120.66 E,필리핀 칼라타간 남동쪽 4km 지역,지도
1423,2020-12-21 2:23,6.3,10,40.70 N,142.70 E,일본 아오모리현(혼슈) 아오모리 동쪽 165km 해역,지도
1422,2020-12-15 0:20,6,114,21.82 S,68.73 W,칠레 칼라마 북북동쪽 73km 지역,지도
1421,2020-12-12 16:19,5.5,50,40.10 N,142.20 E,일본 이와테현(혼슈) 모리오카 동북동쪽 100km 해역,지도
1420,2020-12-11 3:15,5.6,63,24.53 N,121.99 E,대만 타이베이 남동쪽 73km 해역,지도
1419,2020-12-10 22:19,6.7,77,24.74 N,122.03 E,대만 타이베이 남동쪽 59km 해역,지도
1418,2020-12-07 1:47,6.1,102,20.37 S,69.08 W,칠레 이키케 동쪽 113km 지역,지도
1417,2020-12-01 7:54,6.3,148,24.38 S,67.05 W,아르헨티나 살타 서북서쪽 172km 지역,지도
1416,2020-11-22 19:06,5.8,40,36.60 N,141.10 E,일본 이바라키현(혼슈) 미토 동북동쪽 62km 해역,지도
1415,2020-11-11 14:17,5.7,10,25.46 N,142.76 E,일본 시즈오카현(혼슈) 시즈오카 남남동쪽 1138km 해역,지도
1414,2020-11-07 10:11,6.2,10,25.70 N,144.00 E,일본 가나가와현(혼슈) 요코하마 남남동쪽 1161km 해역,지도
1413,2020-11-06 17:56,5.7,10,40.90 N,143.30 E,일본 아오모리현(혼슈) 아오모리 동쪽 215km 해역,지도
1412,2020-10-30 20:51,7,10,37.90 N,26.80 E,그리스 사모스 섬 북서쪽 23km 해역,지도
1411,2020-10-20 5:54,7.4,41,54.67 N,159.61 W,알라스카 샌드포인트 남동쪽 94km 해역,지도
1410,2020-10-08 16:35,6.7,116,6.11 S,146.24 E,파푸아뉴기니 모로베 라에 북서쪽 108km 지역,지도
1409,2020-10-03 18:31,6,70,33.50 N,141.10 E,일본 지바현(혼슈) 지바 남남동쪽 251km 해역,지도
1408,2020-09-30 13:37,5.9,106,24.85 N,122.13 E,대만 타이베이 동남동쪽 62km 해역,지도
1407,2020-09-27 13:13,5.3,50,35.10 N,137.80 E,일본 시즈오카현(혼슈) 시즈오카 서북서쪽 55km 지역,지도
1406,2020-09-15 12:41,6.4,330,55.96 N,158.49 E,러시아 에소 서북서쪽 13km 지역,지도
1405,2020-09-12 11:44,6.1,40,38.70 N,142.40 E,일본 미야기현(혼슈) 센다이 동북동쪽 142km 해역,지도
1404,2020-09-11 16:35,6.3,40,21.38 S,69.92 W,칠레 토코피야 북북동쪽 83km 지역,지도
1403,2020-09-06 10:16,6.4,27,30.33 S,71.57 W,칠레 코킴보 남서쪽 47km 지역,지도
1402,2020-09-04 9:10,5,10,36.10 N,136.20 E,일본 후쿠이현(혼슈) 후쿠이 북북서쪽 4km 지역,지도
1401,2020-09-01 13:09,7,35,28.01 S,71.20 W,칠레 코피아포 남서쪽 110km 해역,지도
1400,2020-08-26 4:08,6,40,5.51 S,151.85 E,파푸아뉴기니 코코포 북북동쪽 138km 지역,지도
1399,2020-08-25 6:51,6,27,9.60 N,84.60 W,코스타리카 산호세 남서쪽 66km 지역,지도
1398,2020-08-06 12:06,5.1,190,37.30 N,138.80 E,일본 니이가타현(혼슈) 니이가타 남남서쪽 70km 지역,지도
1397,2020-08-06 2:54,5.6,30,36.30 N,141.70 E,일본 이바라키현(혼슈) 미토 동쪽 110km 해역,지도
1396,2020-07-30 9:36,5.8,60,30.60 N,141.90 E,일본 가나가와현(혼슈) 요코하마 남남동쪽 578km 해역,지도
1395,2020-07-26 21:52,6.1,53,24.26 N,122.44 E,대만 화롄 동북동쪽 97km 해역,지도
1394,2020-07-23 5:07,6.6,10,33.19 N,86.81 E,중국 티베트 라싸 북서쪽 570km 지역,지도
1393,2020-07-22 15:12,7.4,13,55.22 N,158.59 W,미국 알래스카 페리빌 남남동쪽 84km 해역,지도
1392,2020-07-17 11:50,7.3,85,7.80 S,147.70 E,파푸아뉴기니 코코다 북쪽 119km 해역,지도
1391,2020-07-12 7:38,5.1,10,39.78 N,118.44 E,중국 허베이성 탕산시 북동쪽 28km 지역,지도
1390,2020-07-07 3:20,5.5,420,31.60 N,138.40 E,일본 시즈오카현(혼슈) 시즈오카 남쪽 375km 해역,지도
1389,2020-06-26 6:05,6.4,10,35.73 N,82.33 E,중국 신장 허톈 남동쪽 260km 지역,지도
1388,2020-06-25 4:47,6.2,30,35.50 N,141.20 E,일본 지바현(혼슈) 지바 동쪽 100km 해역,지도
1387,2020-06-24 0:29,7.4,23,16.04 N,95.91 W,멕시코 오악사카 남동쪽 144km 지역,지도
1386,2020-06-19 9:26,5.5,20,24.90 N,123.40 E,일본 오키나와현 요나구니섬 북동쪽 62km 해역,지도
1385,2020-06-18 21:49,7.4,33,33.50 S,177.20 W,뉴질랜드 오포티키 북동쪽 706km 해역,지도
1384,2020-06-15 4:26,5.5,-,24.90 N,123.30 E,일본 오키나와현 요나구니섬 북동쪽 58km 해역,지도
